,Date,Hour,State,code,Train,CarNumber,Equipement,Pressure
2,2022-04-01,23:59:42,Disp,Door,31TR_,C1,1D,3.41
3,2022-04-01,23:59:08,App,Door,31TR_,C1,1D,3.4
6,2022-04-01,23:46:58,App,Door,96TR_,C1,3D,2.91
7,2022-04-01,23:46:58,Disp,Door,96TR_,C1,3D,2.91
8,2022-04-01,23:44:17,App,Pressure,67TR_,T,-,-
9,2022-04-01,23:44:17,Disp,Pressure,67TR_,T,-,-
10,2022-04-01,23:43:27,Disp,Door,112TR_,C5,1D,2.91
11,2022-04-01,23:43:25,App,Door,112TR_,C5,1D,2.91
12,2022-04-01,23:41:19,Disp,Door,88TR_,C1,2G,3.58
13,2022-04-01,23:41:17,App,Door,88TR_,C1,2G,3.58
16,2022-04-01,23:36:00,Disp,Door,29TR_,C3,1G,3.16
17,2022-04-01,23:35:59,App,Door,29TR_,C3,1G,3.16
18,2022-04-01,23:34:18,Disp,Door,103TR_,C1,3D,2.93
19,2022-04-01,23:34:17,App,Door,103TR_,C1,3D,2.93
22,2022-04-01,23:32:15,Disp,Door,103TR_,C2,3D,2.94
23,2022-04-01,23:32:14,App,Door,103TR_,C2,3D,2.94
24,2022-04-01,23:30:08,Disp,Door,4TR_,C5,1G,2.89
25,2022-04-01,23:29:30,App,Door,4TR_,C5,1G,2.89
26,2022-04-01,23:28:43,App,Pressure,81TR_,T,-,-
27,2022-04-01,23:28:43,Disp,Pressure,81TR_,T,-,-
30,2022-04-01,23:19:00,App,Door,88TR_,C2,1G,2.99
31,2022-04-01,23:19:00,App,Door,88TR_,C1,3D,2.99
32,2022-04-01,23:19:00,Disp,Door,88TR_,C2,1G,2.99
33,2022-04-01,23:19:00,Disp,Door,88TR_,C1,3D,2.99
34,2022-04-01,23:17:35,App,Door,104TR_,C5,2D,2.98
35,2022-04-01,23:17:35,Disp,Door,104TR_,C5,2D,2.98
36,2022-04-01,23:16:49,App,Door,88TR_,C3,1G,2.97
37,2022-04-01,23:16:49,App,Door,88TR_,C2,3D,2.97
38,2022-04-01,23:16:49,Disp,Door,88TR_,C3,1G,2.97
